"Rank","Equity%","Price","Zestimate","EstSpread","Beds","Baths","SqFt","PPSF","Type","Address","ZillowURL"
"215","-1%","205000","203000","-2000","2","2","1293","159","House for sale","413 Autumn Run Cir, Columbia, SC 29229","https://www.zillow.com/homedetails/413-Autumn-Run-Cir-Columbia-SC-29229/61363824_zpid/"
"216","-1%","225000","222800","-2200","2","1","1060","212","House for sale","953 Texas St, Columbia, SC 29201","https://www.zillow.com/homedetails/953-Texas-St-Columbia-SC-29201/11682034_zpid/"
"217","-1%","265000","262400","-2600","3","2","2055","129","House for sale","135 Fox Squirrel Cir, Columbia, SC 29209","https://www.zillow.com/homedetails/135-Fox-Squirrel-Cir-Columbia-SC-29209/121964038_zpid/"
"218","-1%","210000","207900","-2100","3","2","1492","141","House for sale","307 Spartan Dr, Columbia, SC 29212","https://www.zillow.com/homedetails/307-Spartan-Dr-Columbia-SC-29212/11190825_zpid/"
"219","-1%","250000","247500","-2500","3","3","2066","121","House for sale","38 Dovecreek, Columbia, SC 29229","https://www.zillow.com/homedetails/38-Dovecreek-Columbia-SC-29229/11740999_zpid/"
"220","-1%","270000","267300","-2700","3","3","1940","139","House for sale","25 Heatherlaurel Ct, Columbia, SC 29223","https://www.zillow.com/homedetails/25-Heatherlaurel-Ct-Columbia-SC-29223/121964812_zpid/"
"221","-1%","289900","287000","-2900","3","3","1819","159","House for sale","230 Bishopgate Rd, Columbia, SC 29212","https://www.zillow.com/homedetails/230-Bishopgate-Rd-Columbia-SC-29212/11191942_zpid/"
"222","-1%","199900","197900","-2000","4","2","1256","159","House for sale","5666 Middleton Ct, Columbia, SC 29203","https://www.zillow.com/homedetails/5666-Middleton-Ct-Columbia-SC-29203/11693573_zpid/"
"223","-1%","219000","216800","-2200","3","3","1452","151","House for sale","196 Cottage Lake Way, Columbia, SC 29209","https://www.zillow.com/homedetails/196-Cottage-Lake-Way-Columbia-SC-29209/80994359_zpid/"
"224","-1%","227500","225200","-2300","3","2","1338","170","House for sale","301 Squire Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/301-Squire-Rd-Columbia-SC-29223/11730437_zpid/"
"225","-1%","295000","292000","-3000","3","2","2061","143","House for sale","121 Frasier Bay Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/121-Frasier-Bay-Rd-Columbia-SC-29229/55194138_zpid/"
"226","-1%","205000","202900","-2100","4","2","1368","150","House for sale","132 Fairlawn Ct, Columbia, SC 29203","https://www.zillow.com/homedetails/132-Fairlawn-Ct-Columbia-SC-29203/11713117_zpid/"
"227","-1%","125000","123700","-1300","3","1","981","127","House for sale","7653 Terry St, Columbia, SC 29209","https://www.zillow.com/homedetails/7653-Terry-St-Columbia-SC-29209/11724463_zpid/"
"228","-1%","249900","247300","-2600","3","3","1588","157","House for sale","407 Sesqui Trl, Columbia, SC 29223","https://www.zillow.com/homedetails/407-Sesqui-Trl-Columbia-SC-29223/11736909_zpid/"
"229","-1%","199900","197800","-2100","3","2","1312","152","House for sale","551 Seton Hall Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/551-Seton-Hall-Dr-Columbia-SC-29223/11739516_zpid/"
"230","-1%","235000","232500","-2500","4","2","2078","113","House for sale","126 Burnsdowne Rd, Columbia, SC 29210","https://www.zillow.com/homedetails/126-Burnsdowne-Rd-Columbia-SC-29210/11194962_zpid/"
"231","-1%","215000","212700","-2300","3","3","1944","111","House for sale","6 Shadow Creek Ct, Columbia, SC 29209","https://www.zillow.com/homedetails/6-Shadow-Creek-Ct-Columbia-SC-29209/11734852_zpid/"
"232","-1%","280000","277000","-3000","3","3","1805","155","House for sale","9194 Windsor Lake Blvd, Columbia, SC 29223","https://www.zillow.com/homedetails/9194-Windsor-Lake-Blvd-Columbia-SC-29223/67615159_zpid/"
"233","-1%","195000","192900","-2100","3","1","1034","189","House for sale","2530 Marling Dr, Columbia, SC 29204","https://www.zillow.com/homedetails/2530-Marling-Dr-Columbia-SC-29204/11690118_zpid/"
"234","-1%","239900","237300","-2600","4","2","1830","131","House for sale","2027 Leesburg Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/2027-Leesburg-Rd-Columbia-SC-29209/11725705_zpid/"
"235","-1%","295000","291800","-3200","3","3","1362","217","House for sale","521 S Bull St, Columbia, SC 29205","https://www.zillow.com/homedetails/521-S-Bull-St-Columbia-SC-29205/110227264_zpid/"
"236","-1%","174999","173100","-1899","2","2","1260","139","House for sale","12 Sea Hawk Ct, Columbia, SC 29203","https://www.zillow.com/homedetails/12-Sea-Hawk-Ct-Columbia-SC-29203/67409154_zpid/"
"237","-1%","230000","227500","-2500","3","2","1354","170","House for sale","213 Greemount Cir, Columbia, SC 29209","https://www.zillow.com/homedetails/213-Greemount-Cir-Columbia-SC-29209/92387659_zpid/"
"238","-1%","285000","281900","-3100","5","3","2147","133","House for sale","34 Nottingham Ct, Columbia, SC 29209","https://www.zillow.com/homedetails/34-Nottingham-Ct-Columbia-SC-29209/92394300_zpid/"
"239","-1%","275000","272000","-3000","4","3","1907","144","House for sale","129 Pond Oak Ln, Columbia, SC 29212","https://www.zillow.com/homedetails/129-Pond-Oak-Ln-Columbia-SC-29212/11669464_zpid/"
"240","-1%","165000","163200","-1800","2","2","1107","149","House for sale","527 Providence Crossing Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/527-Providence-Crossing-Dr-Columbia-SC-29203/67618639_zpid/"
"241","-1%","144900","143300","-1600","3","1","1032","140","House for sale","328 Galbra St, Columbia, SC 29209","https://www.zillow.com/homedetails/328-Galbra-St-Columbia-SC-29209/11735855_zpid/"
"242","-1%","181000","179000","-2000","3","2","1325","137","House for sale","4100 Highland Park Dr, Columbia, SC 29204","https://www.zillow.com/homedetails/4100-Highland-Park-Dr-Columbia-SC-29204/11709967_zpid/"
"243","-1%","189900","187800","-2100","3","2","1170","162","House for sale","1731 Cermack St, Columbia, SC 29223","https://www.zillow.com/homedetails/1731-Cermack-St-Columbia-SC-29223/11719430_zpid/"
"244","-1%","235000","232400","-2600","3","2","1883","125","House for sale","7909 Sagebrook Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/7909-Sagebrook-Rd-Columbia-SC-29223/11721847_zpid/"
"245","-1%","135000","133500","-1500","3","1","1014","133","House for sale","4615 Bluff Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/4615-Bluff-Rd-Columbia-SC-29209/11696716_zpid/"
"246","-1%","189000","186900","-2100","2","3","1260","150","House for sale","1929 Bluff Rd Unit 115, Columbia, SC 29201","https://www.zillow.com/homedetails/1929-Bluff-Rd-UNIT-115-Columbia-SC-29201/92392303_zpid/"
"247","-1%","179900","177900","-2000","3","2","1394","129","House for sale","1015 Greenlawn Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/1015-Greenlawn-Dr-Columbia-SC-29209/11715127_zpid/"
"248","-1%","239900","237200","-2700","3","2","1284","187","House for sale","245 Dove Park Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/245-Dove-Park-Rd-Columbia-SC-29223/52114868_zpid/"
"249","-1%","229000","226400","-2600","3","3","1966","116","House for sale","112 Stanford St, Columbia, SC 29203","https://www.zillow.com/homedetails/112-Stanford-St-Columbia-SC-29203/11694639_zpid/"
"250","-1%","209900","207500","-2400","3","3","1440","146","House for sale","100 Cottage Lake Way, Columbia, SC 29209","https://www.zillow.com/homedetails/100-Cottage-Lake-Way-Columbia-SC-29209/81058247_zpid/"
"251","-1%","235000","232300","-2700","2","3","1260","187","Townhouse for sale","336 Byron Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/336-Byron-Rd-Columbia-SC-29209/71270687_zpid/"
"252","-1%","225000","222400","-2600","2","2","1082","208","Townhouse for sale","115 Mulberry Ln, Columbia, SC 29201","https://www.zillow.com/homedetails/115-Mulberry-Ln-Columbia-SC-29201/11675577_zpid/"
"253","-1%","155000","153200","-1800","3","2","1164","133","House for sale","3805 Trotter Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/3805-Trotter-Rd-Columbia-SC-29209/11735153_zpid/"
"254","-1%","272900","269700","-3200","3","2","1968","139","House for sale","217 Stockmoor Rd, Columbia, SC 29212","https://www.zillow.com/homedetails/217-Stockmoor-Rd-Columbia-SC-29212/11187977_zpid/"
"255","-1%","195000","192700","-2300","3","2","1025","190","House for sale","4243 Mandel Dr, Columbia, SC 29210","https://www.zillow.com/homedetails/4243-Mandel-Dr-Columbia-SC-29210/11671261_zpid/"
"256","-1%","184900","182700","-2200","2","1","1020","181","House for sale","1201 Sycamore Ave, Columbia, SC 29203","https://www.zillow.com/homedetails/1201-Sycamore-Ave-Columbia-SC-29203/11679597_zpid/"
"257","-1%","260000","256900","-3100","4","3","2764","94","House for sale","1960 Drexel Lake Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/1960-Drexel-Lake-Dr-Columbia-SC-29223/11727621_zpid/"
"258","-1%","155000","153100","-1900","2","1","725","214","House for sale","2815 Wesley Dr, Columbia, SC 29204","https://www.zillow.com/homedetails/2815-Wesley-Dr-Columbia-SC-29204/11689778_zpid/"
"259","-1%","277000","273600","-3400","3","2","1484","187","House for sale","9 Twin Oaks Cir, Columbia, SC 29209","https://www.zillow.com/homedetails/9-Twin-Oaks-Cir-Columbia-SC-29209/11734927_zpid/"
"260","-1%","169900","167800","-2100","3","3","1556","109","Townhouse for sale","1158 Cloister Pl, Columbia, SC 29210","https://www.zillow.com/homedetails/1158-Cloister-Pl-Columbia-SC-29210/11670737_zpid/"
"261","-1%","290000","286400","-3600","3","2","1883","154","House for sale","3109 Downes Grove Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/3109-Downes-Grove-Rd-Columbia-SC-29209/11726213_zpid/"
"262","-1%","230000","227100","-2900","3","2","1200","192","House for sale","2012 Bolt Dr, Anderson, SC 29621","https://www.zillow.com/homedetails/2012-Bolt-Dr-Anderson-SC-29621/10795640_zpid/"
"263","-1%","230000","227100","-2900","2","2","1108","208","House for sale","619 Teardrop Ln, Columbia, SC 29229","https://www.zillow.com/homedetails/619-Teardrop-Ln-Columbia-SC-29229/118550071_zpid/"
"264","-1%","170000","167800","-2200","3","2","1686","101","House for sale","8416 Little John Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/8416-Little-John-Dr-Columbia-SC-29209/11724146_zpid/"
"265","-1%","168500","166300","-2200","2","2","1040","162","House for sale","54 Monmouth Ct, Columbia, SC 29209","https://www.zillow.com/homedetails/54-Monmouth-Ct-Columbia-SC-29209/88002336_zpid/"
"266","-1%","280000","276300","-3700","3","2","2030","138","House for sale","112 Chippenham Cir, Columbia, SC 29210","https://www.zillow.com/homedetails/112-Chippenham-Cir-Columbia-SC-29210/11196626_zpid/"
"267","-1%","193500","190900","-2600","4","2","1604","121","House for sale","1703 Alba Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/1703-Alba-Dr-Columbia-SC-29209/11725116_zpid/"
"268","-1%","139900","138000","-1900","3","2","1170","120","House for sale","3521 Ragsdale Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/3521-Ragsdale-Dr-Columbia-SC-29209/11735686_zpid/"
"269","-1%","205000","202200","-2800","3","2","1355","151","House for sale","1328 Baffin Bay Rd, Columbia, SC 29212","https://www.zillow.com/homedetails/1328-Baffin-Bay-Rd-Columbia-SC-29212/11195883_zpid/"
"270","-1%","175000","172600","-2400","3","2","1440","122","Townhouse for sale","6 Crescent Ln, Columbia, SC 29212","https://www.zillow.com/homedetails/6-Crescent-Ln-Columbia-SC-29212/11188389_zpid/"
"271","-1%","174500","172100","-2400","2","2","1092","160","House for sale","33 Heritage Village Ln, Columbia, SC 29212","https://www.zillow.com/homedetails/33-Heritage-Village-Ln-Columbia-SC-29212/11671786_zpid/"
"272","-1%","265000","261300","-3700","2","2","1510","175","House for sale","116 Patio Pl, Columbia, SC 29212","https://www.zillow.com/homedetails/116-Patio-Pl-Columbia-SC-29212/11668808_zpid/"
"273","-1%","299000","294800","-4200","5","3","2434","123","House for sale","2054 Elmridge Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/2054-Elmridge-Rd-Columbia-SC-29209/2067481982_zpid/"
"274","-1%","299900","295600","-4300","4","2","2457","122","House for sale","311 Lockner Rd, Columbia, SC 29212","https://www.zillow.com/homedetails/311-Lockner-Rd-Columbia-SC-29212/11191009_zpid/"
"275","-1%","229999","226700","-3299","3","2","1918","120","House for sale","1515 Rushmore Rd, Columbia, SC 29210","https://www.zillow.com/homedetails/1515-Rushmore-Rd-Columbia-SC-29210/11673179_zpid/"
"276","-1%","250000","246400","-3600","3","2","2346","107","House for sale","1802 Fairhaven Dr, Columbia, SC 29210","https://www.zillow.com/homedetails/1802-Fairhaven-Dr-Columbia-SC-29210/11670053_zpid/"
"277","-1%","235000","231600","-3400","3","2","1921","122","House for sale","9505 Puritan Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/9505-Puritan-Rd-Columbia-SC-29209/11724800_zpid/"
"278","-1%","239900","236400","-3500","4","3","1400","171","House for sale","9429 S Chelsea Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/9429-S-Chelsea-Rd-Columbia-SC-29223/11728224_zpid/"
"279","-1%","279000","274900","-4100","3","3","1702","164","House for sale","1033 Glencroft Drive, Columbia, SC 29210","https://www.zillow.com/homedetails/1033-Glencroft-Dr-Columbia-SC-29210/92391323_zpid/"
"280","-2%","250000","246300","-3700","3","2","1202","208","House for sale","228 Rolling Rock Rd, Columbia, SC 29212","https://www.zillow.com/homedetails/228-Rolling-Rock-Rd-Columbia-SC-29212/50896985_zpid/"
"281","-2%","174999","172400","-2599","3","1","1107","158","House for sale","108 Waterford Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/108-Waterford-Dr-Columbia-SC-29203/11674865_zpid/"
"282","-2%","214900","211700","-3200","3","2","1982","108","House for sale","241 Chartwell Rd, Columbia, SC 29210","https://www.zillow.com/homedetails/241-Chartwell-Rd-Columbia-SC-29210/11669997_zpid/"
"283","-2%","225000","221600","-3400","3","2","1209","186","House for sale","1803 Cermack St, Columbia, SC 29223","https://www.zillow.com/homedetails/1803-Cermack-St-Columbia-SC-29223/11719434_zpid/"
"284","-2%","230000","226500","-3500","3","2","1472","156","House for sale","2113 Kathleen Dr, Columbia, SC 29210","https://www.zillow.com/homedetails/2113-Kathleen-Dr-Columbia-SC-29210/11674422_zpid/"
"285","-2%","274900","270700","-4200","3","2","1080","255","House for sale","2584 Cherry St, Columbia, SC 29205","https://www.zillow.com/homedetails/2584-Cherry-St-Columbia-SC-29205/11687459_zpid/"
"286","-2%","199900","196800","-3100","3","2","1352","148","House for sale","3725 Harrogate Rd, Columbia, SC 29210","https://www.zillow.com/homedetails/3725-Harrogate-Rd-Columbia-SC-29210/11201488_zpid/"
"287","-2%","199900","196800","-3100","3","3","1828","109","House for sale","30 Ward Ct, Columbia, SC 29223","https://www.zillow.com/homedetails/30-Ward-Ct-Columbia-SC-29223/11711308_zpid/"
"288","-2%","255000","251000","-4000","3","3","1592","160","House for sale","38 Cardington Ct, Columbia, SC 29209","https://www.zillow.com/homedetails/38-Cardington-Ct-Columbia-SC-29209/11726171_zpid/"
"289","-2%","254900","250900","-4000","3","2","2052","124","House for sale","101 Bosworth Field Rd, Columbia, SC 29212","https://www.zillow.com/homedetails/101-Bosworth-Field-Rd-Columbia-SC-29212/11188194_zpid/"
"290","-2%","240000","236200","-3800","3","2","1366","176","House for sale","140 Twin Oaks Ln, Columbia, SC 29209","https://www.zillow.com/homedetails/140-Twin-Oaks-Ln-Columbia-SC-29209/11734932_zpid/"
"291","-2%","211250","207900","-3350","3","3","1574","134","House for sale","145 Angel Garden Way, Columbia, SC 29223","https://www.zillow.com/homedetails/145-Angel-Garden-Way-Columbia-SC-29223/92396117_zpid/"
"292","-2%","156500","154000","-2500","3","2","2284","69","House for sale","190 Morningside Dr, Columbia, SC 29210","https://www.zillow.com/homedetails/190-Morningside-Dr-Columbia-SC-29210/11670789_zpid/"
"293","-2%","199900","196700","-3200","3","2","1652","121","House for sale","1000 Coatesdale Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/1000-Coatesdale-Rd-Columbia-SC-29209/11714480_zpid/"
"294","-2%","179999","177100","-2899","2","2","1100","164","House for sale","41 Heritage Village Ln, Columbia, SC 29212","https://www.zillow.com/homedetails/41-Heritage-Village-Ln-Columbia-SC-29212/11671790_zpid/"
"295","-2%","260000","255800","-4200","4","3","2224","117","House for sale","137 Canterfield Rd, Columbia, SC 29212","https://www.zillow.com/homedetails/137-Canterfield-Rd-Columbia-SC-29212/11191994_zpid/"
"296","-2%","245000","241000","-4000","3","2","1830","134","House for sale","119 Bosworth Field Ct, Columbia, SC 29212","https://www.zillow.com/homedetails/119-Bosworth-Field-Ct-Columbia-SC-29212/11188176_zpid/"
"297","-2%","257000","252800","-4200","3","2","1800","143","House for sale","219 Finsbury Rd, Columbia, SC 29212","https://www.zillow.com/homedetails/219-Finsbury-Rd-Columbia-SC-29212/11188219_zpid/"
"298","-2%","179000","176000","-3000","3","2","1032","173","House for sale","219 Dixon Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/219-Dixon-Dr-Columbia-SC-29203/11712156_zpid/"
"299","-2%","164900","162100","-2800","3","2","1407","117","Townhouse for sale","1111 Cloister Pl, Columbia, SC 29210","https://www.zillow.com/homedetails/1111-Cloister-Pl-Columbia-SC-29210/11670717_zpid/"
"300","-2%","239900","235800","-4100","3","2","1888","127","House for sale","311 Spartan Dr, Columbia, SC 29212","https://www.zillow.com/homedetails/311-Spartan-Dr-Columbia-SC-29212/11190824_zpid/"
"301","-2%","229000","225000","-4000","2","2","1617","142","House for sale","48 Castle Cary Ct, Columbia, SC 29209","https://www.zillow.com/homedetails/48-Castle-Cary-Ct-Columbia-SC-29209/88011122_zpid/"
"302","-2%","240000","235800","-4200","3","2","1528","157","House for sale","301 Tendrill Ct, Columbia, SC 29210","https://www.zillow.com/homedetails/301-Tendrill-Ct-Columbia-SC-29210/11196739_zpid/"
"303","-2%","179900","176700","-3200","4","3","3067","59","House for sale","1517 N Woodstream Rd, Columbia, SC 29212","https://www.zillow.com/homedetails/1517-N-Woodstream-Rd-Columbia-SC-29212/11191685_zpid/"
"304","-2%","149000","146300","-2700","3","2","1344","111","House for sale","4521 Corbett St, Columbia, SC 29209","https://www.zillow.com/homedetails/4521-Corbett-St-Columbia-SC-29209/11696845_zpid/"
