"Rank","Signal","Equity%","DaysOnMkt","Price","Zestimate","Beds","Baths","SqFt","PPSF","Type","Address","ZillowURL"
"73","58d","0%","58","175000","174400","4","2","1792","98","House for sale","7504 Teague Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/7504-Teague-Rd-Columbia-SC-29209/11726443_zpid/"
"74","58d","-1%","58","190000","189000","3","3","1418","134","House for sale","120 Curvewood Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/120-Curvewood-Rd-Columbia-SC-29229/67615255_zpid/"
"75","EQUITY 26%","26%","6","170000","229400","5","2","1200","142","House for sale","3961 Live Oak St, Columbia, SC 29205","https://www.zillow.com/homedetails/3961-Live-Oak-St-Columbia-SC-29205/11698835_zpid/"
"76","58d","-1%","58","189900","187800","3","2","1170","162","House for sale","1731 Cermack St, Columbia, SC 29223","https://www.zillow.com/homedetails/1731-Cermack-St-Columbia-SC-29223/11719430_zpid/"
"77","57d","n/a","57","295000","","3","2","1548","191","House for sale","2532 Parkwood Dr, Columbia, SC 29204","https://www.zillow.com/homedetails/2532-Parkwood-Dr-Columbia-SC-29204/11690149_zpid/"
"78","57d","0%","57","199900","199200","3","2","1276","157","House for sale","134 Hester Woods Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/134-Hester-Woods-Dr-Columbia-SC-29223/88012160_zpid/"
"79","57d","-1%","57","247000","245400","3","2","1956","126","House for sale","398 Fox Squirrel Cir, Columbia, SC 29209","https://www.zillow.com/homedetails/398-Fox-Squirrel-Cir-Columbia-SC-29209/88012426_zpid/"
"80","57d","-1%","57","265000","263000","3","3","1698","156","House for sale","118 Long Ridge Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/118-Long-Ridge-Dr-Columbia-SC-29229/11740867_zpid/"
"81","57d","-1%","57","209900","208200","3","3","1776","118","House for sale","2039 Cheltenham Ln, Columbia, SC 29223","https://www.zillow.com/homedetails/2039-Cheltenham-Ln-Columbia-SC-29223/11727454_zpid/"
"82","46d","5%","46","125000","131700","2","1","1235","101","House for sale","1311 Means Ave, Columbia, SC 29210","https://www.zillow.com/homedetails/1311-Means-Ave-Columbia-SC-29210/300044280_zpid/"
"83","56d","-1%","56","249900","247300","3","3","1588","157","House for sale","407 Sesqui Trl, Columbia, SC 29223","https://www.zillow.com/homedetails/407-Sesqui-Trl-Columbia-SC-29223/11736909_zpid/"
"84","56d","-1%","56","195000","192700","3","2","1025","190","House for sale","4243 Mandel Dr, Columbia, SC 29210","https://www.zillow.com/homedetails/4243-Mandel-Dr-Columbia-SC-29210/11671261_zpid/"
"85","55d","-1%","55","299900","295600","4","2","2457","122","House for sale","311 Lockner Rd, Columbia, SC 29212","https://www.zillow.com/homedetails/311-Lockner-Rd-Columbia-SC-29212/11191009_zpid/"
"86","54d","-1%","54","299900","298200","4","3","2459","122","House for sale","135 Waterville Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/135-Waterville-Dr-Columbia-SC-29229/67616295_zpid/"
"87","54d","-1%","54","299000","297300","4","3","2180","137","House for sale","1115 Belmont Green Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/1115-Belmont-Green-Rd-Columbia-SC-29209/2058639858_zpid/"
"88","54d","-1%","54","179900","178500","2","4","1092","165","House for sale","125 Deer Hound Trl, Columbia, SC 29223","https://www.zillow.com/homedetails/125-Deer-Hound-Trl-Columbia-SC-29223/55194906_zpid/"
"89","EQUITY 24%","24%","5","179900","236900","4","2","1900","95","House for sale","616 Amberley Rd, Columbia, SC 29203","https://www.zillow.com/homedetails/616-Amberley-Rd-Columbia-SC-29203/11680383_zpid/"
"90","53d","n/a","53","124900","","3","2","1006","124","House for sale","2304 Pelican Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/2304-Pelican-Dr-Columbia-SC-29203/11680865_zpid/"
"91","53d","0%","53","293500","292500","3","2","1607","183","House for sale","517 Windjammer Ln, Columbia, SC 29229","https://www.zillow.com/homedetails/517-Windjammer-Ln-Columbia-SC-29229/121956874_zpid/"
"92","54d","-4%","54","124000","119400","3","1","978","127","House for sale","2112 Academy St, Columbia, SC 29203","https://www.zillow.com/homedetails/2112-Academy-St-Columbia-SC-29203/300045324_zpid/"
"93","52d","n/a","52","80000","","2","1","594","135","House for sale","1522 Jerome Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/1522-Jerome-Dr-Columbia-SC-29203/11694500_zpid/"
"94","52d","n/a","52","279900","","5","3","2434","115","House for sale","2000 Elmridge Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/2000-Elmridge-Rd-Columbia-SC-29209/2067361781_zpid/"
"95","52d","n/a","52","214900","","3","2","1224","176","House for sale","1223 Harvey St, Columbia, SC 29201","https://www.zillow.com/homedetails/1223-Harvey-St-Columbia-SC-29201/11676765_zpid/"
"96","52d","-1%","52","210000","208400","2","2","1225","171","House for sale","19 Autumn Run Way, Columbia, SC 29229","https://www.zillow.com/homedetails/19-Autumn-Run-Way-Columbia-SC-29229/55195435_zpid/"
"97","52d","-1%","52","230000","227500","3","2","1354","170","House for sale","213 Greemount Cir, Columbia, SC 29209","https://www.zillow.com/homedetails/213-Greemount-Cir-Columbia-SC-29209/92387659_zpid/"
"98","51d","n/a","51","234550","","3","2","1600","147","House for sale","8206 Bayfield Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/8206-Bayfield-Rd-Columbia-SC-29223/11721928_zpid/"
"99","51d","-1%","51","282500","281000","4","3","2036","139","House for sale","146 Brook Hollow Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/146-Brook-Hollow-Dr-Columbia-SC-29229/11731935_zpid/"
"100","51d","-1%","51","199900","198800","3","3","1320","151","House for sale","304 Glen Knoll Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/304-Glen-Knoll-Dr-Columbia-SC-29229/67601586_zpid/"
"101","51d","-1%","51","200000","198800","3","2","1254","159","House for sale","25 Saint Andrews Place Ct, Columbia, SC 29210","https://www.zillow.com/homedetails/25-Saint-Andrews-Place-Ct-Columbia-SC-29210/121968885_zpid/"
"102","51d","-1%","51","182000","180600","2","2","1092","167","House for sale","130 Thorn Tree Ln, Columbia, SC 29212","https://www.zillow.com/homedetails/130-Thorn-Tree-Ln-Columbia-SC-29212/61363201_zpid/"
"103","51d","-1%","51","215000","212700","3","3","1944","111","House for sale","6 Shadow Creek Ct, Columbia, SC 29209","https://www.zillow.com/homedetails/6-Shadow-Creek-Ct-Columbia-SC-29209/11734852_zpid/"
"104","51d","-1%","51","181000","179000","3","2","1325","137","House for sale","4100 Highland Park Dr, Columbia, SC 29204","https://www.zillow.com/homedetails/4100-Highland-Park-Dr-Columbia-SC-29204/11709967_zpid/"
"105","51d","-1%","51","174500","172100","2","2","1092","160","House for sale","33 Heritage Village Ln, Columbia, SC 29212","https://www.zillow.com/homedetails/33-Heritage-Village-Ln-Columbia-SC-29212/11671786_zpid/"
"106","EQUITY 23%","23%","4","99000","128700","4","2","1170","85","House for sale","400 Green Tree Cir, Columbia, SC 29203","https://www.zillow.com/homedetails/400-Green-Tree-Cir-Columbia-SC-29203/11695603_zpid/"
"107","40d","5%","40","275000","289600","4","3","2279","121","House for sale","154 Ashewicke Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/154-Ashewicke-Dr-Columbia-SC-29229/108868167_zpid/"
"108","50d","n/a","50","249900","","3","3","1536","163","House for sale","663 Wooster Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/663-Wooster-Dr-Columbia-SC-29223/461988044_zpid/"
"109","50d","0%","50","199000","198500","3","2","1144","174","House for sale","822 Apache Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/822-Apache-Dr-Columbia-SC-29203/11674771_zpid/"
"110","50d","0%","50","215000","214200","4","3","1910","113","House for sale","1253 Rabon Pond Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/1253-Rabon-Pond-Dr-Columbia-SC-29223/121966459_zpid/"
