"Rank","Flag","Equity%","DaysOnMkt","Price","Zestimate","EstSpread","Beds","Baths","SqFt","Type","Address","ZillowURL"
"14","STALE 87d","0%","87","164900","164500","-400","3","2","1254","House for sale","1826 Overhill Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/1826-Overhill-Rd-Columbia-SC-29223/11720346_zpid/"
"15","STALE 86d","-1%","86","155000","153100","-1900","2","1","725","House for sale","2815 Wesley Dr, Columbia, SC 29204","https://www.zillow.com/homedetails/2815-Wesley-Dr-Columbia-SC-29204/11689778_zpid/"
"16","STALE 86d","-3%","86","135000","130500","-4500","3","1","1012","House for sale","5525 Randall Ave, Columbia, SC 29203","https://www.zillow.com/homedetails/5525-Randall-Ave-Columbia-SC-29203/11693266_zpid/"
"17","STALE 86d","-1%","86","280000","277000","-3000","3","3","1805","House for sale","9194 Windsor Lake Blvd, Columbia, SC 29223","https://www.zillow.com/homedetails/9194-Windsor-Lake-Blvd-Columbia-SC-29223/67615159_zpid/"
"18","STALE 86d","0%","86","219000","218000","-1000","3","2","1150","House for sale","3652 Hoyt St, Columbia, SC 29223","https://www.zillow.com/homedetails/3652-Hoyt-St-Columbia-SC-29223/11711720_zpid/"
"19","STALE 85d","-1%","85","205000","203800","-1200","2","2","1348","House for sale","205 Twin Oaks Ln, Columbia, SC 29209","https://www.zillow.com/homedetails/205-Twin-Oaks-Ln-Columbia-SC-29209/55194647_zpid/"
"20","STALE 85d","","85","271000","","","3","3","2161","House for sale","217 Branchview Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/217-Branchview-Dr-Columbia-SC-29229/55195744_zpid/"
"21","STALE 85d","-1%","85","230000","228400","-1600","3","2","1688","House for sale","1531 Alma Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/1531-Alma-Rd-Columbia-SC-29209/11715547_zpid/"
"22","STALE 85d","","85","224990","","","4","3","1624","House for sale","1022 Sandpiper Ln, Columbia, SC 29203","https://www.zillow.com/homedetails/1022-Sandpiper-Ln-Columbia-SC-29203/11680735_zpid/"
"23","STALE 83d","-1%","83","299000","296200","-2800","5","3","2390","House for sale","146 Dunham Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/146-Dunham-Rd-Columbia-SC-29209/2061751134_zpid/"
"24","STALE 81d","-1%","81","200000","198100","-1900","4","2","1293","House for sale","6006 McMillan Cir, Columbia, SC 29212","https://www.zillow.com/homedetails/6006-McMillan-Cir-Columbia-SC-29212/11191370_zpid/"
"25","STALE 81d","-4%","81","143000","138100","-4900","3","1","1356","House for sale","3408 Belvedere Dr, Columbia, SC 29204","https://www.zillow.com/homedetails/3408-Belvedere-Dr-Columbia-SC-29204/11692686_zpid/"
"26","STALE 81d","-2%","81","229000","225000","-4000","2","2","1617","House for sale","48 Castle Cary Ct, Columbia, SC 29209","https://www.zillow.com/homedetails/48-Castle-Cary-Ct-Columbia-SC-29209/88011122_zpid/"
